brand,name,price
Apple,MacBook Pro,1340
Apple,Macbook Air,899
HP,250 G6,575
Acer,Aspire 3,400
Asus,ZenBook UX430UN,1495
Acer,Swift 3,770
Dell,Inspiron 3567,499
Apple,"MacBook 12""",1262
Lenovo,IdeaPad 320-15IKB,499
Dell,XPS 13,979
Asus,Vivobook E200HA,192
Lenovo,Legion Y520-15IKBN,999
HP,255 G6,258
Dell,Inspiron 5379,819
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),659
Apple,MacBook Air,1099
Dell,Inspiron 5570,800
Dell,Latitude 5590,1298
HP,ProBook 470,896
Chuwi,"LapBook 15.6""",245
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),199
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,439
Lenovo,IdeaPad 120S-14IAP,249
Dell,Inspiron 5770,979
HP,ProBook 450,879
Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),389
Dell,Inspiron 7577,1499
Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,523
Acer,Aspire A515-51G,682
Dell,Inspiron 7773,999
Lenovo,IdeaPad 320-15ISK,369
Asus,Rog Strix,1299
Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,466
Lenovo,Yoga Book,319
HP,ProBook 430,1103
Dell,Inspiron 3576,768
HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),439
Asus,VivoBook Max,586
MSI,GS73VR 7RG,2449
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),415
Dell,Vostro 5471,879
Lenovo,IdeaPad 520S-14IKB,599
Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),941
Asus,ZenBook Pro,1983
HP,Stream 14-AX040wm,229
Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),549
Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,949
Microsoft,Surface Laptop,1089
Dell,Inspiron 5370,955
MSI,GL72M 7RDX,1095
Acer,Aspire E5-475,389
Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,949
Lenovo,IdeaPad 320-15IKBN,519
Acer,Aspire A515-51G-32MX,530
HP,ProBook 440,860
Lenovo,IdeaPad 320-15AST,399
HP,Pavilion 15-CK000nv,699
Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,1449
Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,699
Acer,Aspire 5,689
HP,Probook 430,1197
Asus,Zenbook UX430UA,1049
Acer,Spin 5,847
Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,577
HP,Omen 15-ce007nv,1249
HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,719
HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,349
HP,Envy 13-ad009n,1119
HP,Pavilion 14-BK001nv,659
Lenovo,Ideapad 310-15ISK,415
Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,1193
MSI,GP62M 7REX,1299
Lenovo,Thinkpad T470,1480
Asus,VivoBook S15,1262
Lenovo,ThinkPad Yoga,1399
HP,Probook 440,722
HP,Spectre x360,1399
Dell,Inspiron 7570,1130
Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,564
Acer,Spin 3,479
MSI,GS63VR 7RG,2242
HP,Probook 470,1271
Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,278
Dell,Inspiron 5567,639
Acer,Aspire A515-51G-37JS,572
HP,15-BS078nr (i7-7500U/8GB/1TB/W10),598
Lenovo,V110-15IAP (N3350/4GB/1TB/No,252
Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,938
HP,Envy 13-AD007nv,699
Lenovo,ThinkPad E480,1116
Toshiba,Satellite Pro,602
Asus,ZenBook UX430UA,1099
HP,EliteBook Folio,2014
Asus,X541NA (N3350/4GB/1TB/FHD/W10),344
MSI,GE72MVR 7RG,2029
Acer,Aspire A315-51,447
Dell,Inspiron 5577,1249
Dell,Inspiron 7567,899
Lenovo,V110-15IKB (i5-7200U/4GB/128GB/W10),498
MSI,GE73VR 7RE,1890
HP,EliteBook 840,1082
HP,15-BS103nv (i5-8250U/6GB/256GB/Radeon,619
Lenovo,Yoga 520-14IKB,629
Asus,ZenBook Flip,1315
Dell,Inspiron 5579,1049
Asus,X555BP-XX180T (A9-9420/4GB/1TB/Radeon,403
Acer,Aspire A517-51G,805
Acer,Aspire A315-31,348
MSI,GE63VR 7RE,1799
Huawei,MateBook X,1349
HP,17-bs001nv (i5-7200U/6GB/2TB/Radeon,699
MSI,GT80S 6QF-074US,2799
Lenovo,V310-15IKB (i5-7200U/8GB/1TB,813
Lenovo,Yoga 920-13IKB,1849
Xiaomi,Mi Notebook,1199
Dell,XPS 15,2397
Acer,Swift 7,989
Lenovo,Thinkpad Yoga,2824
Vero,K147 (N3350/4GB/32GB/FHD/W10),260
Lenovo,IdeaPad 320-17IKBR,698
Razer,Blade Pro,6099
HP,Omen 17-W295,1379
Lenovo,V110-15ISK (i5-6200U/4GB/128GB/W10),493
Acer,Aspire E5-576G,742
Lenovo,Legion Y720-15IKB,1749
Dell,Precision 7520,3055
Acer,Aspire 7,779
Asus,ROG GL703VD-GC028T,1407
HP,15-bs018nq (i3-6006U/4GB/500GB/FHD/No,349
Lenovo,IdeaPad 320-17IKB,589
Dell,Latitude 5490,1149
Toshiba,Portege Z30-C-16L,1363
Dell,Alienware 17,2456
Asus,Vivobook X541UV-DM1217T,769
Asus,K756UX-T4340T (i5-7200U/8GB/500GB,891
HP,ZBook 15u,1269
Asus,Pro P2540UA-XO0198T,399
HP,15-rb013nv (E2-9000e/4GB/500GB/W10),330
Dell,Vostro 5468,859
Acer,Aspire R7,689
Asus,X555QG-DM242T (A10-9620P/4GB/1TB,575
Asus,ROG G703VI-E5062T,3890
Acer,Nitro AN515-51,846
Asus,VivoBook Pro,1145
Asus,F756UX-T4201D (i7-7500U/8GB/128GB,889
Lenovo,Yoga 910-13IKB,1079
HP,15-bs015dx (i5-7200U/8GB/1TB/W10),559
Asus,Rog G701VIK-BA060T,2999
Asus,ROG G752VSK-GC493T,1799
Asus,X505BP-BR019T (A9-9420/4GB/1TB/Radeon,469
Dell,Vostro 5370,949
HP,15-BW094nd (A6-9220/8GB/128GB/W10),446
HP,Envy 17-U275cl,1059
MSI,GT73EVR 7RE,2499
Lenovo,Yoga 720-15IKB,1699
Dell,Vostro 3568,657
Lenovo,V330-15IKB (i7-8550U/8GB/256GB/FHD/W10),880
Lenovo,ThinkPad X1,2499
Lenovo,IdeaPad 320-17ISK,489
Lenovo,Ideapad 320-15IKBN,579
Acer,SP315-51 (i7-7500U/12GB/1TB/FHD/W10),659
Lenovo,Thinkpad T570,1097
Acer,Chromebook C910-C2ST,199
Asus,FX753VD-GC071T (i7-7700HQ/8GB/1TB/GeForce,1187
HP,17-BS037cl (i3-6006U/8GB/1TB/W10),489
Lenovo,V330-15IKB (i5-8250U/8GB/256GB/FHD/W10),739
Acer,Aspire A715-71G,979
Dell,Precision 7720,2885
Lenovo,IdeaPad 310-15ABR,499
Asus,ZenBook UX530UQ-PRO,1468
Asus,VivoBook S14,509
Asus,Rog GL702VS-GC095T,2122
Asus,GL553VE-FY082T (i7-7700HQ/8GB/1TB,1265
Lenovo,IdeaPad 320-15IAP,360
HP,EliteBook x360,1975
Lenovo,IdeaPad 720S-13IKB,999
MSI,GE63VR 7RF,2099
Acer,ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10),469
Asus,VivoBook Flip,275
Lenovo,ThinkPad 13,460
HP,ProBook 640,980
Acer,TravelMate B,485
HP,Elitebook 840,1292
Asus,ZenBook UX410UA-GV183T,1094
Acer,Aspire E5-575,549
HP,Elitebook 820,1335
MSI,GL72M 7REX,1199
Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,1334
Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),449
Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,999
HP,Elitebook 850,1144
Asus,X541NA (N3350/4GB/1TB/Linux),275
Dell,Inspiron 3552,275
Lenovo,IdeaPad 320-15ABR,899
HP,Stream 14-AX001nv,279
MSI,GP72MVR 7RFX,1409
HP,Zbook 15,1738
Toshiba,Tecra A50-C-21G,1403
Dell,Latitude 7480,1427
Asus,Zenbook UX410UA-GV027T,945
HP,15-AY023na (N3710/8GB/2TB/W10),389
HP,Elitebook 1040,1750
Lenovo,IdeaPad 110-17ACL,489
HP,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),489
Lenovo,Yoga 11e,553
Asus,VivoBook E403NA,286
HP,Omen 17-w212nv,1191
Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,404
Asus,ROG Strix,1655
Lenovo,IdeaPad 720S-14IKB,1099
Asus,Zenbook Flip,1749
Lenovo,Thinkpad X1,2282
Lenovo,Ideapad 510S-13IKB,549
Dell,Precision 3510,1369
Dell,Precision 5520,2135
Asus,Rog GL753VD-GC042T,1039
Asus,Rog GL753VE-GC070T,1591
MSI,Leopard GP72M,1349
HP,15-BW004nv (A9-9420/4GB/256GB/Radeon,499
Lenovo,ThinkPad E580,1230
Lenovo,ThinkPad L470,938
Dell,Precision M5520,2712
Asus,FX753VD-GC461T (i7-7700HQ/16GB/1TB,1529
MSI,GE73VR 7RF,2249
Asus,Zenbook 3,1873
Toshiba,Portege Z30-C-16P,1747
Lenovo,Lenovo IdeaPad,304
Lenovo,ThinkPad P51,1925
Lenovo,Thinkpad T470p,1943
HP,15-BS028nv (i3-6006U/4GB/1TB/Radeon,469
Dell,Latitude 3380,689
HP,EliteBook 1040,1500
Chuwi,LapBook 12.3,449
HP,ProBook 650,1427
Asus,X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce,597
Dell,Latitude 5480,1099
HP,Omen 17-w207nv,1999
Mediacom,FlexBook Edge,299
Samsung,Chromebook 3,269
Lenovo,Thinkpad 13,1010
Lenovo,IdeaPad 320s-14IKB,599
Lenovo,Thinkpad P51,2449
HP,15-ra044nv (N3060/4GB/500GB/W10),347
